brand,name,price
マウスコンピューター mouse computer,DGI7G70YC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥309,800"
デル DELL,DA90-DWLBC [ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4070/メモリ 32GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック],"￥414,800"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1335 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥494,980"
ガレリア GALLERIA,XR736T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥259,980"
マウスコンピューター mouse computer,DGI7G70YC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥304,800"
ガレリア GALLERIA,XR747T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥359,980"
レノボ･ジャパン Lenovo,90VH004MJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥264,000"
マウスコンピューター mouse computer,DGI5G1BYC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i5-13400F/メモリ 32GB/SSD 500GB/GeForce GTX 1650/Windows 11 Home],"￥184,800"
MSI エムエスアイ,Trident AS 13NUE-495JP [ゲーミングデスクトップパソコン/Core i7-13700F/RTX 4070/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥330,100"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥549,980"
ガレリア GALLERIA,RR536T-1500-YC31-740 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥247,980"
デル DELL,AI577T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥174,800"
デル DELL,DI60-DNLC [Inspiron 3020 デスクトップ/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥179,800"
レノボ･ジャパン Lenovo,90VH004NJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥227,070"
ストーム STORM,YDS-ME7AH16146 [光るゲーミングデスクトップパソコン/Core i7-12700/RTX4060 8GB/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥257,800"
ストーム STORM,YDS-ME7AH16146T [光るゲーミングデスクトップパソコン/Core i7-12700/RTX4060Ti 8GB/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥269,800"
デル DELL,DA85-DWLBC [ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4060 Ti/メモリ 16GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック],"￥354,800"
デル DELL,AI567T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥159,800"
エイスース ASUS,G15DK-R75G1660TW11 [ゲーミングデスクトップパソコン ROG Strix GA15 （G15DK）/Ryzen 7 5800X/GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥159,800"
レイトレック raytrek,4CR7F-47-3100 R32 [デスクトップパソコン/レイトレック/Core i7-13700F/GeForce RTX 4070 12GB GDDR6X/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥319,980"
ガレリア GALLERIA,XR748-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥414,440"
MSI エムエスアイ,PRO DP180 14-264JP [高性能デスクトップPC/Core i7-14700/メモリ 16GB/SSD 1TB/Windows 11 Pro],"￥156,360"
